tabla,material,estado_conservacion,antiguedad_hasta,porcentaje
01,Concreto,Muy Bueno,5,0
01,Concreto,Muy Bueno,10,0
01,Concreto,Muy Bueno,15,3
01,Concreto,Muy Bueno,20,6
01,Concreto,Muy Bueno,25,9
01,Concreto,Muy Bueno,30,12
01,Concreto,Muy Bueno,35,15
01,Concreto,Muy Bueno,40,18
01,Concreto,Muy Bueno,45,21
01,Concreto,Muy Bueno,50,24
01,Concreto,Muy Bueno,,27
01,Concreto,Bueno,5,5
01,Concreto,Bueno,10,5
01,Concreto,Bueno,15,8
01,Concreto,Bueno,20,11
01,Concreto,Bueno,25,14
01,Concreto,Bueno,30,17
01,Concreto,Bueno,35,20
01,Concreto,Bueno,40,23
01,Concreto,Bueno,45,26
01,Concreto,Bueno,50,29
01,Concreto,Bueno,,32
01,Concreto,Regular,5,10
01,Concreto,Regular,10,10
01,Concreto,Regular,15,13
01,Concreto,Regular,20,16
01,Concreto,Regular,25,19
01,Concreto,Regular,30,22
01,Concreto,Regular,35,25
01,Concreto,Regular,40,28
01,Concreto,Regular,45,31
01,Concreto,Regular,50,34
01,Concreto,Regular,,37
01,Concreto,Malo,5,55
01,Concreto,Malo,10,55
01,Concreto,Malo,15,58
01,Concreto,Malo,20,61
01,Concreto,Malo,25,64
01,Concreto,Malo,30,67
01,Concreto,Malo,35,70
01,Concreto,Malo,40,73
01,Concreto,Malo,45,76
01,Concreto,Malo,50,79
01,Concreto,Malo,,82
01,Ladrillo,Muy Bueno,5,0
01,Ladrillo,Muy Bueno,10,3
01,Ladrillo,Muy Bueno,15,6
01,Ladrillo,Muy Bueno,20,9
01,Ladrillo,Muy Bueno,25,12
01,Ladrillo,Muy Bueno,30,15
01,Ladrillo,Muy Bueno,35,18
01,Ladrillo,Muy Bueno,40,21
01,Ladrillo,Muy Bueno,45,24
01,Ladrillo,Muy Bueno,50,27
01,Ladrillo,Muy Bueno,,30
01,Ladrillo,Bueno,5,8
01,Ladrillo,Bueno,10,11
01,Ladrillo,Bueno,15,14
01,Ladrillo,Bueno,20,17
01,Ladrillo,Bueno,25,20
01,Ladrillo,Bueno,30,23
