categoria,marca,modelo_2025,modelo_2026,valor_2025,valor_2024,valor_2023
A1,BAJAJ,QUTE,QUTE,"18,000","16,200","14,400"
A1,BAJAJ,RE 60,RE 60,"18,000","16,200","14,400"
A1,BAJAJ,OTROS MODELOS,OTROS MODELOS,"18,000","16,200","14,400"
A1,BYD,FO COMFORT,FO COMFORT,"32,440","29,200","25,950"
A1,BYD,FO G-I,FO G-I,"32,440","29,200","25,950"
A1,BYD,FO GL-I,FO GL-I,"32,440","29,200","25,950"
A1,BYD,FO GLX-I,FO GLX-I,"32,710","29,440","26,170"
A1,BYD,FO LUXURY,FO LUXURY,"32,440","29,200","25,950"
A1,BYD,OTROS MODELOS,OTROS MODELOS,"32,440","29,200","25,950"
A1,CHANGAN,BENNI 1.0L MT AC,BENNI 1.0L MT AC,"30,100","27,090","24,080"
A1,CHANGAN,BENNI ADVANTAGE,BENNI ADVANTAGE,"30,100","27,090","24,080"
A1,CHANGAN,BENNI BASIC,BENNI BASIC,"30,100","27,090","24,080"
A1,CHANGAN,BENNI LUXURY,BENNI LUXURY,"27,800","25,020","22,240"
A1,CHANGAN,BENNY 1.0,BENNY 1.0,"27,130","24,420","21,700"
A1,CHANGAN,MINI BENNI 1.0 MT,MINI BENNI 1.0 MT,"30,100","27,090","24,080"
A1,CHANGAN,MINI BENNI ADVANTAGE,MINI BENNI ADVANTAGE,"30,100","27,090","24,080"
A1,CHANGAN,MINI BENNI BASIC,MINI BENNI BASIC,"30,100","27,090","24,080"
A1,CHANGAN,MINI BENNI LUXURY,MINI BENNI LUXURY,"30,100","27,090","24,080"
A1,CHANGAN,OTROS MODELOS,OTROS MODELOS,"30,100","27,090","24,080"
A1,CHANGHE,CH7101BE,CH7101BE,"26,190","23,570","20,950"
A1,CHANGHE,IDEAL,IDEAL,"22,920","20,630","18,340"
A1,CHANGHE,OTROS MODELOS,OTROS MODELOS,"24,560","22,100","19,650"
A1,CHERY,NEW QQ 1.0 MT,NEW QQ 1.0 MT,"24,690","22,220","19,750"
A1,CHERY,QQ,QQ,"25,220","22,700","20,180"
A1,CHERY,QQ 0.8,QQ 0.8,"26,890","24,200","21,510"
A1,CHERY,QQ 1.0 MT,QQ 1.0 MT,"26,890","24,200","21,510"
A1,CHERY,QQ AC 0.8 MT,QQ AC 0.8 MT,"26,890","24,200","21,510"
A1,CHERY,OTROS MODELOS,OTROS MODELOS,"26,890","24,200","21,510"
A1,CHEVROLET,ALL NEW ONIX 1.0T LTZ MT,ALL NEW ONIX 1.0T LTZ MT,"42,300","38,070","33,840"
A1,CHEVROLET,ALL NEW ONIX 1.0T PREMIER AT,ALL NEW ONIX 1.0T PREMIER AT,"57,900","52,110","46,320"
A1,CHEVROLET,ALL NEW ONIX 1.0T RS MT,ALL NEW ONIX 1.0T RS MT,"47,960","43,160","38,370"
A1,CHEVROLET,ALL NEW ONIX SEDAN 1.0L LT MT,ALL NEW ONIX SEDAN 1.0L LT MT,"37,410","33,670","29,930"
A1,CHEVROLET,BOLT EV LT 4X2,BOLT EV LT 4X2,"114,640","103,180","91,710"
A1,CHEVROLET,CORSA 3P,CORSA 3P,"34,680","31,210","27,740"
A1,CHEVROLET,CORSA 5P,CORSA 5P,"38,640","34,780","30,910"
A1,CHEVROLET,CORSA HATCHBACK,CORSA HATCHBACK,"35,010","31,510","28,010"
A1,CHEVROLET,CORSA SUPER,CORSA SUPER,"35,980","32,380","28,780"
A1,CHEVROLET,NEW ONIX HB 1.0T LT MT,NEW ONIX HB 1.0T LT MT,"48,810","43,930","39,050"
A1,CHEVROLET,NEW ONIX HB 1.0T LTZ MT,NEW ONIX HB 1.0T LTZ MT,"49,200","44,280","39,360"
A1,CHEVROLET,NEW ONIX HB 1.0T PREMIER AT,NEW ONIX HB 1.0T PREMIER AT,"57,220","51,500","45,780"
A1,CHEVROLET,NEW ONIX HB 1.0T RS MT,NEW ONIX HB 1.0T RS MT,"53,240","47,920","42,590"
A1,CHEVROLET,NEW ONIX SEDAN 1.0T LT MT,NEW ONIX SEDAN 1.0T LT MT,"49,100","44,190","39,280"
A1,CHEVROLET,NEW ONIX SEDAN 1.0T LTZ MT,NEW ONIX SEDAN 1.0T LTZ MT,"52,510","47,260","42,010"
A1,CHEVROLET,NEW ONIX SEDAN 1.0T PREMIER AT,NEW ONIX SEDAN 1.0T PREMIER AT,"48,040","43,240","38,430"
A1,CHEVROLET,NEW ONIX SEDAN 1.0T PREMIER AT LAUNCH ED,NEW ONIX SEDAN 1.0T PREMIER AT LAUNCH ED,"56,620","50,960","45,300"
A1,CHEVROLET,ONIX,ONIX,"40,580","36,520","32,460"
A1,CHEVROLET,ONIX 1.0T LT MT*,ONIX 1.0T LT MT*,"35,500","31,950","28,400"
A1,CHEVROLET,ONIX 1.0T LTZ MT II,ONIX 1.0T LTZ MT II,"52,170","46,950","41,740"
A1,CHEVROLET,ONIX 1.0T LTZ MT III,ONIX 1.0T LTZ MT III,"50,780","45,700","40,620"
