# Detalle de las fichas de DEMOSTRACION: lo que hay DENTRO de cada ficha.
# Construcciones por piso, obras complementarias, y lo propio de cada tipo —actividades
# economicas, bienes comunes con su reparto, grupos de tierra con sus colindantes—.
# Solo se carga contra una municipalidad con municipalidad.es_demostracion = true.
#
# Se carga JUSTO DESPUES de fichas.csv: cada fila nombra su predio por el codigo de
# referencia catastral, y el grupo que nombre un predio inexistente se rechaza entero.
#
# LA UNIDAD DE CARGA ES EL PREDIO, NO LA FILA. Una version de ficha es atomica: todas las
# filas de un mismo codigo predial entran en UNA llamada a ActualizarFichaCatastral, y por
# eso las cinco primeras columnas —tipo, vigencia, origen, documento— tienen que repetirse
# iguales en todas las filas del grupo. Si dos filas del mismo predio dicen fechas
# distintas, el grupo se rechaza: son propiedades de la version, no de la fila, y no hay
# una lectura correcta que elegir.
#
# VERSIONA, NO SOBRESCRIBE. Cada predio de este archivo acaba con DOS versiones de ficha:
# la que inscribio fichas.csv y esta. Es la invariante del catastro —una ficha nunca se
# sobrescribe, se versiona— ejercitada de verdad, y de paso deja historial que mirar.
#
# NINGUNA CIFRA NORMATIVA, y conviene decir por que no la hay: todo lo que entra aqui son
# CARACTERISTICAS del predio —metros construidos, ano, material, estado de conservacion,
# categorias constructivas, hectareas, riego—. Ninguna es un valor unitario ni un arancel.
# Lo que sigue bloqueado por D-02a es la VALORIZACION —multiplicar esas caracteristicas por
# el cuadro de valores unitarios—, no describirlas: la ficha catastral es la descripcion
# del predio, y existe con independencia de cuanto valga.
#
# LAS SIETE COLUMNAS FINALES CAMBIAN DE SIGNIFICADO SEGUN LA SECCION:
#
#   CONSTRUCCION   piso, areaConstruida, anio, material, estadoConservacion,
#                  categorias, porcentajeConstruido
#   INSTALACION    descripcion, cantidad, unidad, anio, estadoConservacion, -, -
#   ACTIVIDAD      conductor, nombreComercial, ciiu, areaOcupada, -, -, -
#   BIEN_COMUN     descripcion, area, material, estadoConservacion, anio, -, -
#   PARTICIPACION  codigoPredialDelParticipe, porcentaje, -, -, -, -, -
#   TIERRA         clasificacion, calidadAgrologica, riego, hectareas, hectareasComunes, -, -
#   COLINDANTE     orientacion, descripcion, -, -, -, -, -
#
# `categorias` son las siete del manual en una sola columna y en este orden: muros, techos,
# pisos, puertas, revestimientos, banios, instalaciones. Letras de la A a la J, y un guion
# donde no se declare ninguna.
#
# NINGUN ANIO ANTERIOR A 1990, y no porque en Catacaos no haya casas mas antiguas.
# `Construccion.anioConstruccion` es un `Ejercicio`, y `Ejercicio` admite de 1990 a 2100
# —el mismo rango que el dominio `ejercicio` de PostgreSQL—, porque es el tipo del
# EJERCICIO TRIBUTARIO reutilizado aqui como «anio de construccion». Una casa de adobe de
# 1979, que es de lo mas corriente en el distrito, hoy NO SE PUEDE FICHAR: la fila se
# rechaza con «Ejercicio fuera de rango». Lo destapo cargar este archivo con anios
# realistas; queda anotado y no se arregla aqui, porque cambiarlo toca el dominio y la
# columna. Mientras tanto los cuatro predios mas antiguos declaran 1990, con su material y
# su estado de conservacion reales.
#
# QUE NO ESTA AQUI, y a proposito: `Jiron Cusco 900` (20010403003001000000000). Es un
# terreno sin construir, asi que su ficha se queda con cero construcciones —que es un caso
# de verdad, no un olvido: la pantalla tiene que saber dibujar un predio sin nada edificado—.
codigoPredial,tipoFicha,vigenciaDesde,origen,documentoOrigen,seccion,c1,c2,c3,c4,c5,c6,c7
20010401001001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0101,CONSTRUCCION,1,120.40,1998,LADRILLO,BUENO,CCDCCDC,100.00
20010401001001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0101,CONSTRUCCION,2,86.00,2010,LADRILLO,MUY_BUENO,BBCBBCB,100.00
20010401001001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0101,INSTALACION,Cerco perimetrico,42.00,ML,1998,REGULAR,,
20010401001002000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0102,CONSTRUCCION,1,98.30,1991,ADOBE,REGULAR,EEFEEFE,100.00
20010401001003000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0103,CONSTRUCCION,1,180.00,2015,CONCRETO,MUY_BUENO,AABAABA,100.00
20010401001003000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0103,ACTIVIDAD,DEMO Ceramica Narihuala S.A.C.,Sala de ventas Narihuala,4773,180.00,,,
20010401002001000000000,UNICA,2026-02-01,FISCALIZACION,ACTA-DEMO-0104,CONSTRUCCION,1,72.50,1990,ADOBE,MALO,FFGFFGF,100.00
20010401002002000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0105,CONSTRUCCION,1,240.00,2008,CONCRETO,BUENO,BBCBBCB,100.00
20010401002002000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0105,INSTALACION,Horno de ceramica,2.00,UND,2008,BUENO,,
20010401002002000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0105,ACTIVIDAD,DEMO Ceramica Narihuala S.A.C.,Taller Narihuala,2393,240.00,,,
20010401003001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0106,CONSTRUCCION,1,110.00,2001,LADRILLO,BUENO,CCDCCDC,100.00
20010401003002000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0107,CONSTRUCCION,1,150.00,2012,CONCRETO,BUENO,BBCBBCB,100.00
20010401003002000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0107,ACTIVIDAD,DEMO Panaderia Simbila S.R.L.,Panaderia Simbila,1071,150.00,,,
20010401004001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0108,CONSTRUCCION,1,160.00,1994,LADRILLO,BUENO,CCDCCDC,100.00
20010401004001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0108,CONSTRUCCION,2,140.20,2018,CONCRETO,MUY_BUENO,AABAABA,100.00
20010401004002000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0109,CONSTRUCCION,1,84.00,1990,LADRILLO,REGULAR,DDEDDED,100.00
20010401005001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0110,CONSTRUCCION,1,210.00,2005,CONCRETO,BUENO,BBCBBCB,100.00
20010401005001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0110,CONSTRUCCION,2,95.00,2022,CONCRETO,MUY_BUENO,AABAABA,60.00
20010401005001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0110,INSTALACION,Piscina,1.00,UND,2005,BUENO,,
